acc[0],acc[1],acc[2],gyro[0],gyro[1],gyro[2],pressure,temperature(C)
-0.028686523,1.0532227,-0.11212158,-1.8386841,-17.028809,-15.945435,1061.86,26.85
0.113220215,1.8100586,-0.20599365,-18.241882,-9.605408,-190.34576,1061.86,26.85
-0.2640381,1.3566895,0.6602173,29.281616,101.387024,-173.62213,1061.86,26.85
-0.13244629,1.1486816,0.0015258789,-9.353638,7.3623657,-70.869446,1061.8,26.838888
0.039978027,1.600708,0.25354004,31.5094,1.0375977,249.99237,1061.77,26.838888
-0.058654785,1.0317993,-6.1035156E-05,1.2359619,-15.930176,-13.618469,1061.77,26.838888
0.71069336,0.21459961,-0.07574463,48.713684,-26.268005,52.322388,1061.77,26.838888
-0.096191406,1.088562,0.016357422,20.454407,-6.210327,-55.625916,1061.71,26.85
0.24310303,1.999939,-0.10241699,-16.571045,-64.93378,-205.46722,1061.74,26.85
1.756958,1.2479248,0.925354,31.417847,155.05981,-171.49353,1061.8,26.85
-0.12872314,1.1936646,0.16217041,-16.151428,4.798889,-103.302,1061.8,26.85
-0.45739746,1.999939,0.029663086,11.34491,71.18225,249.99237,1061.8,26.85
-0.06915283,1.010437,0.06689453,0.2593994,-9.521484,-26.794434,1061.8,26.85
0.19781494,0.57629395,-0.24194336,-0.77056885,75.927734,204.74243,1061.86,26.833336
-0.051940918,1.0362549,0.03942871,-5.836487,-13.946533,-20.843506,1061.82,26.833336
0.46343994,0.61572266,-0.27172852,-20.179749,-19.889832,-85.357666,1061.89,26.811113
-0.045715332,1.0131226,-0.012451172,13.565063,0.22888184,-65.75775,1061.84,26.811113
0.18249512,1.5964966,0.35723877,-44.0979,-11.756897,-152.51923,1061.9,26.783333
-0.078430176,1.0627441,-0.03869629,16.105652,44.799805,-137.08496,1061.81,26.783333
-0.044677734,1.1218872,0.09637451,-29.029846,-6.17218,-44.799805,1061.81,26.772224
-0.27868652,0.66204834,0.28045654,-32.23419,79.0863,-10.482788,1061.78,26.772224
-1.1480713,1.1380615,-0.49902344,30.10559,71.640015,20.874023,1061.81,26.75
0.5667114,1.2168579,0.8409424,-86.82251,185.60028,-15.235901,1061.76,26.75
-0.010314941,1.0375977,0.19744873,6.454468,9.155273,-7.1258545,1061.78,26.755558
-0.08148193,0.9379883,0.38000488,24.650574,-11.375427,7.7819824,1061.81,26.755558
-0.00012207031,1.0542603,0.17913818,-72.387695,-42.57202,29.586792,1061.87,26.722221
0.16912842,1.0211792,-0.21356201,18.90564,-31.806946,-20.523071,1061.79,26.722221
-0.27520752,0.9244995,-0.55670166,-105.36194,2.0370483,33.927917,1061.79,26.711113
-0.053771973,0.99523926,0.10253906,-9.864807,1.663208,-19.096375,1061.79,26.711113
-0.07611084,0.9977417,0.12841797,-4.142761,1.373291,-0.92315674,1061.81,26.711113
-0.0725708,1.001648,0.17059326,1.1062622,1.7700195,0.2975464,1061.79,26.711113
-0.07519531,1.005127,0.1539917,-2.1133423,1.5258789,-0.36621094,1061.81,26.705557
-0.059692383,1.0081787,0.15985107,-0.2975464,2.4261475,3.7002563,1061.81,26.705557
-0.04156494,1.0028687,0.14489746,0.4043579,1.411438,-5.645752,1061.81,26.699999
-0.020019531,1.0270996,0.04510498,14.465332,-21.476746,17.356873,1061.76,26.699999
0.08660889,1.0246582,-0.01776123,-7.293701,-0.038146973,6.706238,1061.81,26.694447
0.22497559,0.92926025,-0.0036010742,-14.625549,-12.329102,59.2041,1061.81,26.694447
0.3012085,0.98742676,0.009399414,11.192322,-21.903992,-41.31317,1061.76,26.699999
